year,Dead Sea
"1,985",682.959
"1,986",678.191
"1,987",675.055
"1,988",672.378
"1,989",668.873
"1,990",666.441
"1,991",661.531
"1,992",665.908
"1,993",667.323
"1,994",666.513
"1,995",662.802
"1,996",659.605
"1,997",655.024
"1,998",653.079
"1,999",647.592
"2,000",645.555
"2,001",644.411
"2,002",642.393
"2,003",641.532
"2,004",641.012
"2,005",639.654
"2,006",636.152
"2,007",634.333
"2,008",631.287
"2,009",627.444
"2,010",625.786
"2,011",623.159
"2,012",620.504
"2,013",616.666
"2,014",615.162
"2,015",613.109
"2,016",610.074
"2,017",607.642
"2,018",604.767
"2,019",602.459
"2,020",600.973
"2,021",599.974
